Algorithm: Bellman-Ford
Source: 0
Vertex Distance
0 0
1 -2
2 1
3 2
4 5
5 2
6 0
7 3
8 4
9 7
10 4
11 2
12 5
13 6
14 9
15 6
16 4
17 7
18 8
19 11
20 8
21 6
22 9
23 10
24 13
25 10
26 8
27 11
28 12
29 15
30 12
31 10
32 13
33 14
34 17
35 14
36 12
37 15
38 16
39 19
40 16
41 14
42 17
43 18
44 21
45 18
46 16
47 19
48 20
49 23
50 20
51 18
52 21
53 22
54 25
55 22
56 20
57 23
58 24
59 27
60 24
61 22
62 25
63 26
64 29
65 26
66 24
67 27
68 28
69 31
70 28
71 26
72 29
73 30
74 33
75 30
76 28
77 31
78 32
79 35
80 32
81 30
82 33
83 34
84 37
85 34
86 32
87 35
88 36
89 39
90 36
91 34
92 37
93 38
94 41
95 38
96 36
97 39
98 40
99 43
Negative cycle: none
Execution time: 1.0747 ms
